SponsorApplicant,ProductNo,Form,Dosage,ProductMktStatus,TECode,ReferenceDrug,drugname,activeingred
PHARMICS                                          ,4,SOLUTION/DROPS;OPHTHALMIC,0.01,3,,0,PAREDRINE,HYDROXYAMPHETAMINE HYDROBROMIDE
LILLY                                             ,1,TABLET;ORAL,500MG,3,,0,SULFAPYRIDINE,SULFAPYRIDINE
ORGANON USA INC                                   ,1,INJECTABLE;INJECTION,"20,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,2,INJECTABLE;INJECTION,"40,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,3,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,4,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,5,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,7,INJECTABLE;INJECTION,100 UNITS/ML,3,,0,LIQUAEMIN LOCK FLUSH,HEPARIN SODIUM
ORGANON USA INC                                   ,8,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,9,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,10,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,HEPARIN SODIUM,HEPARIN SODIUM
ORGANON USA INC                                   ,11,INJECTABLE;INJECTION,"1,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
ORGANON USA INC                                   ,12,INJECTABLE;INJECTION,"5,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
ORGANON USA INC                                   ,13,INJECTABLE;INJECTION,"10,000 UNITS/ML",3,,0,LIQUAEMIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM
LILLY                                             ,1,INJECTABLE;INJECTION,EQ 1MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
LILLY                                             ,2,INJECTABLE;INJECTION,EQ 0.2MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
LILLY                                             ,3,INJECTABLE;INJECTION,EQ 0.1MG BASE/ML,3,,0,HISTAMINE PHOSPHATE,HISTAMINE PHOSPHATE
MEDA PHARMS                                       ,2,TABLET;ORAL,15MG,3,,0,BUTISOL SODIUM,BUTABARBITAL SODIUM
MEDA PHARMS                                       ,3,TABLET;ORAL,50MG,1,,1,BUTISOL SODIUM,BUTABARBITAL SODIUM
MEDA PHARMS                                       ,4,TABLET;ORAL,30MG,1,,1,BUTISOL SODIUM,BUTABARBITAL SODIUM
MEDA PHARMS                                       ,5,TABLET;ORAL,100MG,3,,0,BUTISOL SODIUM,BUTABARBITAL SODIUM
ORGANON USA INC                                   ,1,INJECTABLE;INJECTION,5MG/ML,3,,0,DOCA,DESOXYCORTICOSTERONE ACETATE
MERCK SHARP DOHME                                 ,1,TABLET;ORAL,125MG,1,,0,GUANIDINE HYDROCHLORIDE,GUANIDINE HYDROCHLORIDE
LILLY                                             ,3,TABLET;ORAL,5MG,3,,0,MENADIONE,MENADIONE
PARKE DAVIS                                       ,2,TABLET;ORAL,65MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,4,TABLET;ORAL,325MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,5,TABLET;ORAL,32MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,7,TABLET;ORAL,200MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,8,TABLET;ORAL,100MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,9,TABLET;ORAL,16MG,3,,0,PROLOID,THYROGLOBULIN
PARKE DAVIS                                       ,10,TABLET;ORAL,130MG,3,,0,PROLOID,THYROGLOBULIN
ISO TEX                                           ,1,INJECTABLE;INJECTION,100MG/ML,3,,0,INULIN AND SODIUM CHLORIDE,INULIN
GD SEARLE LLC                                     ,2,TABLET;ORAL,100MG,3,,0,AMINOPHYLLIN,AMINOPHYLLINE
GD SEARLE LLC                                     ,3,TABLET;ORAL,200MG,3,,0,AMINOPHYLLIN,AMINOPHYLLINE
POYTHRESS                                         ,1,POWDER;TOPICAL,0.3332,3,,0,BENSULFOID,SULFUR
SCHERING                                          ,1,TABLET;ORAL,10MG,3,,0,ORETON METHYL,METHYLTESTOSTERONE
SCHERING                                          ,2,TABLET;ORAL,25MG,3,,0,ORETON METHYL,METHYLTESTOSTERONE
NOVARTIS                                          ,1,"TABLET;BUCCAL, SUBLINGUAL",10MG,3,,0,METANDREN,METHYLTESTOSTERONE
NOVARTIS                                          ,3,"TABLET;BUCCAL, SUBLINGUAL",25MG,3,,0,METANDREN,METHYLTESTOSTERONE
NOVARTIS                                          ,4,"TABLET;BUCCAL, SUBLINGUAL",5MG,3,,0,METANDREN,METHYLTESTOSTERONE
NOVARTIS                                          ,5,"TABLET;BUCCAL, SUBLINGUAL",10MG,3,,0,METANDREN,METHYLTESTOSTERONE
PARKE DAVIS                                       ,1,INJECTABLE;INJECTION,5PRESSOR UNITS/ML,3,,0,PITRESSIN TANNATE,VASOPRESSIN TANNATE
SANOFI AVENTIS US                                 ,1,CAPSULE;ORAL,"50,000 IU",1,AA,1,DRISDOL,ERGOCALCIFEROL
ROCHE                                             ,4,INJECTABLE;INJECTION,5MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
ROCHE                                             ,6,INJECTABLE;INJECTION,10MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
ROCHE                                             ,8,INJECTABLE;INJECTION,37.5MG/ML,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
ROCHE                                             ,10,TABLET;ORAL,5MG,3,,0,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE
PARKEDALE                                         ,1,INJECTABLE;INJECTION,1MG/ML,3,,0,THEELIN,ESTRONE
PARKEDALE                                         ,2,INJECTABLE;INJECTION,2MG/ML,3,,0,THEELIN,ESTRONE
PARKEDALE                                         ,3,INJECTABLE;INJECTION,5MG/ML,3,,0,THEELIN,ESTRONE
LILLY                                             ,2,"TABLET, DELAYED RELEASE;ORAL",0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,3,"TABLET, DELAYED RELEASE;ORAL",0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,4,"TABLET, DELAYED RELEASE;ORAL",1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,5,"TABLET, DELAYED RELEASE;ORAL",0.25MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,6,"TABLET, DELAYED RELEASE;ORAL",5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,1,SUPPOSITORY;VAGINAL,0.1MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
LILLY                                             ,2,SUPPOSITORY;VAGINAL,0.5MG,3,,0,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL
